topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR,label,lb_anoosha,lb_nishant,lb_zheyuan,is_same
Vaccine,CovidHoax,1294984802890911746,./data_Vaccine/CovidHoax/tweets3/Efi1z_iXsAICXnH.jpg,./annotation_data/Vaccine/Efi1z_iXsAICXnH.jpg,"States are stock piling food in empty arenas, getting ready for #CivilWar the Elite #DivideAndConquer #Riots #RaceWars #NWO is here! #SnakePoem #TrojanHorse #CovidHoax 
🔥NEVER LOCKED UP #HILLARY, AND HE NEVER WILL! 🤬🔥 https://t.co/lmhif2oU76"," Operation Mockingbird Public Perception Management Programming FOx NEWS CNN CIA Project  Fake News 
",Public in Project Fake News,0.0,0,0,1,0
Political,maga,1297377429405614081,./data_Political/maga/tweets4/EgE11wjUcAA4FsE.jpg,./annotation_data/Political/EgE11wjUcAA4FsE.jpg,.@realDonaldTrump #MAGA She’s known you ALL your life. Speaking candidly. https://t.co/1a1eOSQ7if," reobhan YOU CANT TRUST HIM SECRET AUDIO OF TRUMPS SISTER 
",Em TRUST HIM SECRET AUDIO OF OF ae rig aA Se,0.0,1,1,0,0
Mask,masks,1289427764341166080,./data_Mask/masks/tweets1/EeT3toLVAAAv1EA.jpg,./annotation_data/Mask/EeT3toLVAAAv1EA.jpg,I #feel like #crap but #alive so im #happy for #that. Have to #shop then #get on with more #masks. Cant #wait. https://t.co/54ZhuA1Zis," WERK 
",,0.0,2,1,0,0
Vaccine,CoronavirusVaccine,1295569664861380608,./data_Vaccine/CoronavirusVaccine/tweets3/EfrI7yGUEAAyPGX.jpg,./annotation_data/Vaccine/EfrI7yGUEAAyPGX.jpg,"are you getting it now?
see how this game is played?
rinse and repeat in every country on earth..
#CoronavirusVaccine https://t.co/jMrsw5iDcQ"," No influenza deaths recorded in Australia so far this winter AUGUST 17 2020 426pm WATCH VIDEO THE NEWSCOMAU  150 Can you catch COVID19 twice 
",No influenza in so far this winter AUGUST WATCH ae aa VIDEO ta ae ae ae We Can you catch twice of,2.0,0,0,2,0
Boomer,karen,1297799651899449346,./data_Boomer/karen/tweets4/EgK15rHWAAAshUU.jpg,./annotation_data/Boomer/EgK15rHWAAAshUU.jpg,"@thekjohnston Oh look, a bored, white, jobless but probably unemployable attention-seeker #karen https://t.co/9t13yWKnDD"," Groundbreaking 
",He wy,0.0,2,0,0,0
Political,Trump2020,1298444723837964289,./data_Political/Trump2020/tweets4/EgUAmGhWoAU7E2o.jpg,./annotation_data/Political/EgUAmGhWoAU7E2o.jpg,#Trump2020Landslide  #Trump2020 #Trump the war is coming..  get ready to defend this beautiful land.. https://t.co/varRZ3pY0W," ll  55 950 PM Mon Aug 24 Mike Kaminsky v Katy Krasnow Hickman County Antifa 17h Election Day nears Comrades Prepare to defend your rights ANTIFA COMRADES ON NOV 4 DONT FORGET TO DISGUISE YOURSELVES AS PATRIOTSTRUMP SUPPORTERS WEAR MAGA HATS USA FLAGS 3ER INSIGNIAS A CONVINCING POLICE UNIFORM IS EVEN BETTER THIS WAY POLICE AND PATRIOTS RESPONDING TO US WONT KNOW WHO THEIR ENEMIES ARE AND ONLOOKERS AND THE MEDIA WILL THINK THERE ARE TRUMP SUPPORTERS RIOTING SO ITS HARDER TO TURN POPULAR OPINION AGAINST US Type Message Me We O GIF  
",Ce on County PROSE Tae nese ON DONT FORGET TO DISGUISE YOURSELVES AS Me cee en Ce POLICE UNIFORM IS EVEN BETTER Od,2.0,1,2,2,0
Political,Trump2020,1290096753144807425,./data_Political/Trump2020/tweets1/EedYKPYXkAAonhv.jpg,./annotation_data/Political/EedYKPYXkAAonhv.jpg,"@RepAdamSchiff @Gerrrrrrrr8 Let me make this #PerfectlyClear
#Trump2020
#GodBlessAmerica 
#GodBlessPresidentTrump https://t.co/YZE1LMTPkv"," Its no longer Republicans versus the Democrats its America versus socialism House Majority Leader  Kevin McCarthyCalifornia 
",Its no longer on versus the its versus socialism House Majority Leader,0.0,0,1,0,0
Immigration,cdnpoli,1289977533673254913,./data_Immigration/cdnpoli/tweets1/EebrujFUYAAEoy0.jpg,./annotation_data/Immigration/EebrujFUYAAEoy0.jpg,"Donald J #Trump, aka The Donald, media marvel, but...
FAILURE TO DELIVER. #uspoli #GOP #maga2020 #kag2020 #covidiots #covid19 #POTUS45 #FoxNews #cdnpoli https://t.co/ZQ5gA6PlpL"," MAPVEL AGE OF THE LAMPS 
",pi GE if AE ES,2.0,2,2,0,0
Political,Trump2020,1296968968289345536,./data_Political/Trump2020/tweets4/Ef_CZSBWkAAP-FV.jpg,./annotation_data/Political/Ef_CZSBWkAAP-FV.jpg,"“Straight Outta Tha Communist Manifesto”
#JoeBlow #JoeAndTheHoe #Trump2020 #Trump2020Landslide https://t.co/kHCLnLh0P0"," IF THIS WAS A ALBUM COVERWHAT WOULD YOU NAME ITO PARENTAL ADVISORY EXPLICIT CONTENT made with mematic 
",IF THIS WAS ALBUM COVER vee WOULD YOU IT ne Ge io oe date ne tA we Wo oS,1.0,0,1,0,0
AsianHate,ChinaLiedPeopleDied,1297404417201729537,./data_AsianHate/ChinaLiedPeopleDied/tweets4/EgFOZFXUMAAyyUm.jpg,./annotation_data/AsianHate/EgFOZFXUMAAyyUm.jpg,"@StateDept @SecPompeo Freedom is not free, we must stop #CCPChina to crushing our freedom and human rights, we all know that CCP is terrism. 
#ChinaLiedPeopleDied #CCP_is_terrorist https://t.co/bygxa32VyA"," CC The CCP lies and makes those who tell the truth UNUM disappear SECRETARY OF STATE MICHAEL R POMPEO Photo State DeptRon Przysucha 
",ae and those ne who tell the truth SECRETARY OF STATE,0.0,1,0,1,0
Mask,masks,1298378857423101952,./data_Mask/masks/tweets4/EgTEr14U0AEK1JL.jpg,./annotation_data/Mask/EgTEr14U0AEK1JL.jpg,"Back to school shopping with my new high school student. Maybe my tee will be a reminder to the anti-maskers. But I doubt it. 

#masks
@NHM_London 
@NHM_Science https://t.co/ZCys0W8pkV"," NE BUILT I CHARLES DARWIN ON THE ORIGIN OF SPECIES WORLD TOUR 
",na aA ON THE ORIGIN OF SPECIES WORLD TOUR,2.0,0,0,2,0
Immigration,americafirst,1298375010113945600,./data_Immigration/americafirst/tweets4/EgTBK-tXsAUI3bp.jpg,./annotation_data/Immigration/EgTBK-tXsAUI3bp.jpg,He's gonna mail in his vote. #America #AmericaFirst #RNC2020 #freedom @J47130015 @catturd2 @DonaldJTrumpJr @realDonaldTrump @w_terrence #SocialismKills https://t.co/NdLzRbe5n9," BIDEN BIDEN FOR TRUMP 
",,0.0,2,1,0,0
Vaccine,VaccinesWork,1298624526176202752,./data_Vaccine/VaccinesWork/tweets4/EgWjYVyWkAEa7eo.jpg,./annotation_data/Vaccine/EgWjYVyWkAEa7eo.jpg,"Africa reached a remarkable milestone and was declared wild #polio free

Because #VaccinesWork
Because of reliable supply chains
Because of strong partnerships
Because of dedicated health workers
 
Congratulations to #Africa and to everyone supporting the fight to #EndPolio. https://t.co/gU6L3P89vT"," EndPolio 062 unicef O for every child 
",for every child,0.0,0,2,0,0
AsianHate,ChinaVirus,1298246090517614593,./data_AsianHate/ChinaVirus/tweets4/EgRLtJ5XYAIMMOt.png,./annotation_data/AsianHate/EgRLtJ5XYAIMMOt.png,Have you seen how #Chinavirus introduced all kind of #ConspiracyTheories  and #qanon into Mainstream population talk in the last couple of months. Now everybody is Conspiracy Theorist or Living the Conspiracy ? https://t.co/MpRQdnw10s," If they say people who do not vaccinate are a danger to people who do vaccinate what are those vaccines actually for then  Just trying to free your mind  Morpheus 
",If they say people who do not vaccinate are danger to people who do vaccinate what are those actually for then mind Just trying to free your me,0.0,0,1,0,0
AsianHate,chinesevirus,1297472566743961600,./data_AsianHate/chinesevirus/tweets4/EgGLs-LXgAIL3jL.png,./annotation_data/AsianHate/EgGLs-LXgAIL3jL.png,@chothep @bennetowuonda @SolomonKarori2 @Olaf_Ke @MwangP01 @Luther_Gen @slmiheso @WilsonWaGitau on another issue... these pics are making rounds all over social media even as billions meant for #ChineseVirus are being shared by the elite even before they touch the ground. &amp; some will arrogantly claim nani hawezi pata 50bob ya mask. yeah we always blame the victims https://t.co/omq5MsIMeo," EACCKemsaExposed OTOLEO 
",ni iF ae,2.0,2,0,2,0
Boomer,karen,1295812713319292928,./data_Boomer/karen/tweets3/Efpz0s2XgAI1l-7.jpg,./annotation_data/Boomer/Efpz0s2XgAI1l-7.jpg,"Watch full video here: https://t.co/aRU8fJgiqy

#karenmemes #karensgonewild #karenmeme #freakout #freakouts #karenmemes #calmdownkaren #wayment #karen #karens #amycooper #tiktok #karenculture #Publicfreakout #Publicfreakouts #Karenfreakout #Karenfreakouts https://t.co/k2ePQGDaQ1"," RACIST KAREN ARRESTED FOR ATTACKING LANDSCAPE WORKERS 
",,0.0,0,1,0,0
Immigration,immigration,1297503994735140864,./data_Immigration/immigration/tweets4/EgGpAWHXYAABXiQ.jpg,./annotation_data/Immigration/EgGpAWHXYAABXiQ.jpg,"Amnesty Solicitors has a reputation for their litigation work. 
Find out more on our website 👉 https://t.co/rEfbBc7QYv
#immigration #uk #litigation #solicitors https://t.co/lFinZhweGI"," AMNESTY SOLICITORS Legal Services for all Litigation matters 
",Legal for all Litigation,2.0,0,2,2,0
Political,maga,1300077419638988800,./data_Political/maga/tweets5/EgrNg8pU0AAuAqk.jpg,./annotation_data/Political/EgrNg8pU0AAuAqk.jpg,"@SenJohnBarrasso Wyoming Dept of Health urges masks and caution.

Dr. barASSo denies the science, throwing caution (and #coronavirus) to the wind.

Quack!

#BidenHarris2020 #TrumpFailure
#TrumpIsUnwell #maga #kag #Resist #gop #BidenVoters #Biden
#Trump https://t.co/oxZseoNSZc https://t.co/1aaofYKTf6"," O SchittsCreek ITS FUNNY BECAUSE 
",na ITS FUNNY BECAUSE,0.0,2,0,0,0
Boomer,karen,1292921905025101826,./data_Boomer/karen/tweets2/EfFhnfsXgAUtXxN.jpg,./annotation_data/Boomer/EfFhnfsXgAUtXxN.jpg,@TomiLahren is the new #KAREN for CON-SERVATISM https://t.co/b3Tvu1n4Y9," MELTDOWN 
",,0.0,0,1,0,0
AsianHate,ChinaVirus,1300209632821088256,./data_AsianHate/ChinaVirus/tweets5/EgtEbQgWoAMTqJV.jpg,./annotation_data/AsianHate/EgtEbQgWoAMTqJV.jpg,@debragarrett @tedwheeler @realDonaldTrump @USNationalGuard That was the plan: Democrats release their domestic terrorists to run amok and blamed Trump for it just like #CCP unleashed their #ChinaVirus and they blamed Trump for the deaths. Dems keep trying to bring Trump down regardless of consequences because they basically hate America. https://t.co/heflaOKlSs," BRMCO Americans for Limited Government O2020 Creatorscom TRUMPS FAULT MURDER RATE RISING DEBLASIO COVID CRIMINAL RELEASE PROGRAM GUN VIOLENCE RISING RISING CRIME 
",FAULT oe ey ae AD ae,0.0,1,0,1,0
Boomer,trumpliesamericansdie,1295040873504350209,./data_Boomer/trumpliesamericansdie/tweets3/EfjozmfXsAEv8eP.jpg,./annotation_data/Boomer/EfjozmfXsAEv8eP.jpg,@HKrassenstein Jason Miller Lied?!....#TrumpSyncophant #TrumpLiesAmericansDie https://t.co/L8rzxeKp1N," I DID NOT SEE THAT COMING AT ALL 
",,0.0,2,0,0,0
Vaccine,CoronavirusVaccine,1294542323922153478,./data_Vaccine/CoronavirusVaccine/tweets3/EfcjYXaWoAAsomK.jpg,./annotation_data/Vaccine/EfcjYXaWoAAsomK.jpg,"▪️What you need to know about Coronavirus!

👉🏻Find out more:
🌐https://t.co/yGynjmdeAL

#Beautiful #beautytips #beautytipjar #COVIDー19 #CoronavirusVaccine #coronavirus #bbnaijalockdown2020 https://t.co/oR13AJuECp"," Reouly s fer the tiy k Seul What You Need to Know About CORONAVIRUS Covid19 It is transmitted Coughing Sneezing Close personal contact Touching an object then touching your mouth nose eyes Symptoms IP JAR BRAUTE Fever Cough Shortness of Breath Severe Illness tenuly W 
",What You Need to Know About Sneezing Close personal contact TA Touching an object then touching your mouth nose UP Fever Cough Shortness of Breath the Severe Illness,2.0,0,2,2,0
Vaccine,VaccinesWork,1292845663311425536,./data_Vaccine/VaccinesWork/tweets2/EeR8qNPXYAEXvW6.png,./annotation_data/Vaccine/EeR8qNPXYAEXvW6.png,"Vaccines are safe for you and your family, and they are effective at preventing diseases, such as pertussis and measles. #VaccinesWork #NationalImmunizationAwarenessMonth #IVax2Protect https://t.co/4maA0AnZjD"," Vaccines are safe and effective at preventing serious diseases National Immunization Awareness Month 
",are safe and effective NA serious Awareness Month,2.0,0,2,2,0
AsianHate,wuhanvirus,1290040459125854209,./data_AsianHate/wuhanvirus/tweets1/Eeck9RTWsAcwLmW.jpg,./annotation_data/AsianHate/Eeck9RTWsAcwLmW.jpg,"@Ktsimmi @TCA63 @WCVB That’s what matters! Not asymptomatic cases! 🙄 It’s quite elementary that DEATHS &amp; HOSPITALIZATIONS matter! Only 406 of 7M residents hospitalized NOW. #WuhanVirus All-time low was last week @ 347! It’s simple math, FFS! 🙄🦠😷 https://t.co/IVWwLLUrz8"," WHOMP WHOMP 
",ra Se,0.0,2,0,0,0
Mask,facemask,1292680745421434881,./data_Mask/facemask/tweets2/EfCGQdhUEAEG2wt.jpg,./annotation_data/Mask/EfCGQdhUEAEG2wt.jpg,"10Aug2020: When I saw this photo showing mandatory use of FaceMask in July 2020, #FaceMask &amp; #FaceShield in August, #MedicalUniform w/ #PhysicalProtectiveEquipment #PPE in September, &amp;  #AustronautUniform in October, I laughed. 🤓 #COVID19Pandemic #NewNormal #Travel #Backpacking https://t.co/zN21I7OW8P"," When I saw this photo I laughed out loud Face Shie Dret Spiac JULY Ast September October 
",When saw this photo out loud Face Sar en,0.0,0,1,0,0
AsianHate,wuhanvirus,1296446968835776513,./data_AsianHate/wuhanvirus/tweets3/Ef3npREUMAAQaP9.jpg,./annotation_data/AsianHate/Ef3npREUMAAQaP9.jpg,"The Hong Kong gov is paving the wave for mass surveillance! This is worse than national security law.

@realDonaldTrump please sanction against all individuals and insitutions that advocate and implement citywide #WuhanVirus testing in HK.

#MedicalFascism #Covid1984 https://t.co/15P1o8YdC9 https://t.co/K4gkdztpYh"," Calm down Were only doing fascism until we got all your dna data Hong Kong gov imgfipcom quickmncom 
",Calm down Were only doing fascism until we got all your data,0.0,1,0,1,0
Boomer,caresact,1293932966264045569,./data_Boomer/caresact/tweets2/EfT5LM3XgAETuQN.jpg,./annotation_data/Boomer/EfT5LM3XgAETuQN.jpg,"Local Minnesotan governments around the state are hustling to spend their share of an $841 million COVID-19 aid package from the federal CARES Act.

To access the article, visit https://t.co/YSeig2YhDV

#SBDC #OneMinnesota #CARESACT https://t.co/00XP2k9clX"," MINNPOST How Local Governments are Spending Their Share of MNs 841 Million in Federal COVID19 Aid AMERICAS Shared by the WC SBDC SBDC MINNESOTA 
",How Local are Spending Their Share of Million in Federal Aid Tae TIT Ra anon eS os,0.0,0,2,2,0
AsianHate,CCPVirus,1290872154934763521,./data_AsianHate/CCPVirus/tweets1/EeoZYC-UYAA7NKp.jpg,./annotation_data/AsianHate/EeoZYC-UYAA7NKp.jpg,"@Kate_OKeeffe @robert_spalding #WarRoomPandemic Dr. Li Meng Yan (M.D, PhD):Comparison of protein 3D structure, on the right is the link mechanism of ACE2 receptor and virus-artificial virus microorganism! biochemical weapon! #CCP_is_terrorist #CCPVirus  #virus #weapons https://t.co/Obv7F7c58C"," Americas Vice Dr Li Meng Yan MD PhD WAR ROOM PANDEMIC TRUMP CONFRONTED WITH DIVIDED ELECTORATE PRESIDENT TRUMP MEETS WITH THE NATI ProAl 
",om ea ie ES Voice velte Or ti Meng Yon TRUMP WITH DIVIDED ELECTORATE PRESIDENT TRUMP WITH THE,2.0,2,0,2,0
Political,trumpvirus,1300116495637385217,./data_Political/trumpvirus/tweets5/EgrxDytXsAAGpW9.jpg,./annotation_data/Political/EgrxDytXsAAGpW9.jpg,Only flags flying are #TrumpIsis flags. The white domestic terrorist and @realDonaldTrump are what’s wrong in America! Where are the jobs-the healthcare-we are in a depression because of this morons inability to lead! #TrumpRiots #TrumpVirus #TrumpViolence enough #TrumpDeath https://t.co/SvwbV0yA4O https://t.co/i0ceLz5ncp," TRUMP TEXT TRUMP te 88022 Deyton Ohie MARE AMERICA GREAY AGAIN 
",,2.0,2,0,1,0
AsianHate,chinesevirus,1296375831972007936,./data_AsianHate/chinesevirus/tweets3/Ef2m2LDXgAIcTcc.jpg,./annotation_data/AsianHate/Ef2m2LDXgAIcTcc.jpg,"@qNkqy528TsBZFZw Why you can't say #Nazi's #ConcentrationCamps is beautiful, Beautiful scenery of #Tibet serving #CCPProganda, in reality #CCP's Prison 

#FreeTibet #FreeHK #BoycottMadeInChina #BoycottHuawei #BoycottChineseApps #ChineseVirus #XiJinping #India #59chineseapps #PMModi #IntoTibet2020 https://t.co/gntD6bT2bC"," NAT Freedom level 2018 100  most free Finlands 100 Canadas 99 Japan 96 Germany 94 France 90 Italy 89 US 86 S Korea 84 Brazil 78 India 77 Mexico 62 Nigeria 50 Turkeys 32 Russiaa 20 China14 Tibet between North Korea  Syria O US Freedom House TibetPeople 
",ae at an io ran ora rea are ar an oes eon Ly al ean North Ge pare he US Freedom aa san bom Ey coo,0.0,1,0,1,0
Political,trumpvirus,1295582822678306816,./data_Political/trumpvirus/tweets3/EfrVr8fWAAAtKsG.jpg,./annotation_data/Political/EfrVr8fWAAAtKsG.jpg,@ericsslater @weijia Not to mention the distraction from #coronavirus as more Americans die because of his incompetence. #COVID19 #TrumpHasNoPlan #TuesdayMotivation #SaveTheUSPS #VoteBidenHarrisToSaveAmerica #Resist #TrumpVirus #Cult45 #QAnon #FauxNews #OANN https://t.co/Q4dy90JlMv," No amount of lies can hide his FAILURE 

",Ca No amount of ide FAIL RE,0.0,1,0,1,0
Political,Trump2020,1299080907836489736,./data_Political/Trump2020/tweets4/EgdDM3mUYAA9JQK.jpg,./annotation_data/Political/EgdDM3mUYAA9JQK.jpg,"Says it all.
#trump2020
#maga
#HidinBiden 
#goodvsevil
#AmericaFirst https://t.co/bYKZGziB5L"," 1619 PROJECT ELECTION 2020 Est 76 NO ACCOUNTS FOR WHITE ylal ADVOCACY AL White People Have a Racist Subconscious Virus HIRE FEWER WHITES macys POLICE ACCSM HAS PACE NERE HINNEAPOLIS PORTLAND DEFUND CRY CHICAGO NTIFA TOLKE ALL WHITES ARG NAZIS GOD BLESS AMERICA ALL COPS AR BLM HOLY FINE PEOPLE HOAX BIDEN HARRIS TRUMP AMERICA FIRST AMERICA IS RACIST 
",te tae Ni oN an pik ye ie te WIRD ie Se TRUMP,1.0,1,0,1,0
Boomer,trumpliesamericansdie,1292646234625376256,./data_Boomer/trumpliesamericansdie/tweets2/EfBm5RdXgAExVBA.jpg,./annotation_data/Boomer/EfBm5RdXgAExVBA.jpg,@RudyGiuliani Little @RudyGiuliani taking time in the #bunker with #bunkerbitchDonnie to play #RoyCohn games.  #AmericansKnowTheTruth #TrumpIsANationalDisgrace #TrumpLiesAmericansDie #TrumpIsANationalDisgrace #TrumpLiesEverytimeHeSpeaks https://t.co/6Cf7CejxiA," 924 ET WAIT LIVE 
",al,0.0,2,0,0,0
Political,Election2020,1298611212016652289,./data_Political/Election2020/tweets4/EgWYAyAXoAE7x59.jpg,./annotation_data/Political/EgWYAyAXoAE7x59.jpg,"@jimiuorio this by far is the funniest thing I’ve seen in a while...
 #MailInVoting #Election2020 #VoteByMail2020 https://t.co/BTtGrVVps3"," THE POLITICAL PARTY WHO LOST 3300O EMAILS WANTS MAILIN VOTING imgflip com 
",ba,0.0,1,0,1,0
AsianHate,wuhanvirus,1297988934056718338,./data_AsianHate/wuhanvirus/tweets4/EgNiDrFXsAQ0PXX.jpg,./annotation_data/AsianHate/EgNiDrFXsAQ0PXX.jpg,"Cargill meat packing plant closure: #COVID19 outbreak among foreign workers tops 500 cases
by #RebelNews - 23 Apr 2020

new epicentre in Western #Canada

6:58

VID https://t.co/AqRBR1fl3w

#CoronaVirus #WuhanVirus  #CCPVirus

qt-covid19-vids-012 by #BorderObserver https://t.co/c5OLFN0Hq1"," THIRD WORLD Cargill MEAT FACTORY 
",THIRD WORLD,0.0,0,1,2,0
Mask,WearAMask,1297757456060178434,./data_Mask/WearAMask/tweets4/EgKPhqqVoAASzbf.jpg,./annotation_data/Mask/EgKPhqqVoAASzbf.jpg,"@TheSWPrincess @romanticskeptc @IDreamOfHamill @starwars @cwebbonline @DebbieDoesTwitt @DHStokyo @jomareewade @meg_Y12 @AryaKicksButt @Sky_Lee_1 Tired of people who refuse to wear masks?

Share your best mask memes! #MaskUp #WearAMask #MasksOn https://t.co/NevRTvonsF"," BidenHarris 2020 vwheato 
",,0.0,1,0,0,0
Mask,maskssavelives,1291045857769422849,./data_Mask/maskssavelives/tweets1/Eeq3BP2XgAIlZyf.jpg,./annotation_data/Mask/Eeq3BP2XgAIlZyf.jpg,"#Todayin #NewJersey #CoronaVirusUpdates #COVID19 #COVID #COVIDー19 

After yesterdays storm: 🤔😰

#MaskUp #MaskUpAmerica #MasksSaveLives https://t.co/tXwdhmlHaS"," New Jersey COVID19 Numbers Total Deaths 13989 New Deaths 8 Total Probable Deaths 1853 LTH CREATES ECON Learn more at covid19njgov 18 THE GREAT 
",al Pit tie New Jersey Total New Bon Total Probable Learn more at,2.0,0,2,2,0
Boomer,trumpliesamericansdie,1293702373869854720,./data_Boomer/trumpliesamericansdie/tweets2/EfQncvDXYAAm_u8.jpg,./annotation_data/Boomer/EfQncvDXYAAm_u8.jpg,"@realDonaldTrump @foxandfriends @MariaBartiromo #Kamala OWNED #Trump with this line! She'll continue to stand up to #RacistTrump and call out his #LiesLiesLies cuz #TruthMatters !!!

160 days to go until adults retake the WH. 
165K Americans dead.

#TrumpLiesAmericansDie 
#TrumpIsANationalDisgrace #BidenHarris2020ToSaveAmerica https://t.co/9smi95nmBC"," Trump inherited the longest economic expansion in history from Barack Obama and Joe Biden And then like everything else Trump inherited he ran it straight into the ground  KAMALA HARRIS RIDIN WITH BIDEN 
",Trump the economic expansion in history from and Joe And then like everything else Trump he ran it straight into the ground KAMALA,0.0,1,0,1,0
AsianHate,ChinaLiedPeopleDied,1289534818624012293,./data_AsianHate/ChinaLiedPeopleDied/tweets1/EeVZEGsUEAEOW_X.jpg,./annotation_data/AsianHate/EeVZEGsUEAEOW_X.jpg,@HawleyMO @BytedanceTalk #tiktokban indeed #ChinaLiedPeopleDied #WuhanVirusMadeInChina https://t.co/NWQT2lZ9Ec," TikTok is a racist app Banned GeorgeFloyd Delete TikTok now 
",is racist Delete no,0.0,1,0,1,0
AsianHate,ChinaVirus,1296116610571341824,./data_AsianHate/ChinaVirus/tweets3/Efy7L8MWkAIgQWE.jpg,./annotation_data/AsianHate/Efy7L8MWkAIgQWE.jpg,"Wow, #KAG! Like the #ChinaVirus , #MAGA hats are made in CHINA. 
#JoeBiden hats are made in the USA🇺🇸! 
Who is REALLY Keeping America Great? Somebody who talks smack to American workers — or somebody who EMPLOYS American workers? #labor #jobs #Biden #BidenHarris2020ToSaveAmerica https://t.co/QudaXhxQ51"," WOOL 65 ERYLIC 35 MADE IN CHINA UNIONWEAR MADE UNON MACENTHE UMA workers unted or ERICA AIN 
",we,2.0,1,2,2,0
AsianHate,CCPVirus,1297339425458753537,./data_AsianHate/CCPVirus/tweets4/EgETVBWUYAAuTOu.jpg,./annotation_data/AsianHate/EgETVBWUYAAuTOu.jpg,"@UndergroundSilk Those poor 1 billion Chinese people, such a bad situation: 
Floods, 
Infected water 
#CCPvirus
Poverty
Homes collapsing

Except about them 100 million CPP communist totalitarian members, f*** &amp; forget them. CCP members will get what you deserve one day. https://t.co/uIvoHP6keJ"," FCK YOU 
",me YOU,3.0,1,0,1,0
Boomer,karen,1298310417111044096,./data_Boomer/karen/tweets4/EgSGcQ5XoAI_5t-.jpg,./annotation_data/Boomer/EgSGcQ5XoAI_5t-.jpg,"Saw part of the the #RNC2020 replay. Did y’all see Don Jr. #cocaineeyes and his fiancé  @kimguilfoyle gave the best #Karen impression I’ve ever seen. If that’s how she acts when she’s aware of the camera, God help the employee that pisses her off. #UltimateKaren #2020Election https://t.co/WZeoA3oWcC"," Ultimatekaren 
",ATE wy,0.0,0,1,0,0
Immigration,liberals,1293584380305211400,./data_Immigration/liberals/tweets2/EfO8IoLXsAACnQL.jpg,./annotation_data/Immigration/EfO8IoLXsAACnQL.jpg,#newsome sucks! #Liberals #DemocratsAreDestroyingAmerica https://t.co/77sSqMvbh1," CALIFORNIA CANNOT PAY FOR TRUMPS UNEMPLOYMENT BENEFITS THERE IS NO MONEY SITTING IN THE PIGGY BANK Gov Gavin Newsome FOR AMERICA SAYS THE GOVERNOR WHOSE STATE JUST GAVE STIMULUS CHECKS TO ILLEGAL IMMIGRANTS Brigitte Gabriel 
",CANNOT PAY UNEMPLOYMENT THERE IS NO MONEY SITTING IN THE PIGGY BANK THE GOVERNOR WHOSE STATE JUST GAVE STIMULUS TO ILLEGAL,0.0,1,0,0,0
Immigration,cdnpoli,1292841593813204999,./data_Immigration/cdnpoli/tweets2/EfEXpStWAAAaoAo.jpg,./annotation_data/Immigration/EfEXpStWAAAaoAo.jpg,"Demand #Ontario MPP's ensure #SafeSeptember. Current plan &amp; funding is insufficient &amp; poses serious risk to children, staff &amp; their families Sign &amp; share @CdnChange  petition now https://t.co/8H5D6F2qW3 
#onted #onpoli #cdnpoli #topoli @tdsb @TCDSB @ETFOeducators #UnsafeSeptember https://t.co/gTLhWwSOXT"," DEMAND ONTARIO MPPS PROVIDE ADEQUATE FUNDING  RESOURCES NEEDED TO ENSURE A SAFESEPTEMBER 
",DEMAND ay PROVIDE AA ADEQUATE eH TO ENSURE ba,2.0,0,0,2,0
Vaccine,CoronavirusVaccine,1293135525834940416,./data_Vaccine/CoronavirusVaccine/tweets2/EfIj2AcU0AEO-rZ.jpg,./annotation_data/Vaccine/EfIj2AcU0AEO-rZ.jpg,#Russia announces world's first #CoronavirusVaccine https://t.co/ujm3kyFpXv," Modiji Putin Ramdev Rula diya na bechaari ko 
",aN na ko,2.0,2,1,2,0
Mask,maskup,1294016456942915584,./data_Mask/maskup/tweets2/EfU9tFBXgAAhqkh.jpg,./annotation_data/Mask/EfU9tFBXgAAhqkh.jpg,"#MaskUp! When at a NRHN facility, all must be masked anytime they are within 6 feet of someone else. This is required everywhere.

We are all responsible for Masking Up to keep our community safe. Thank you for #MaskingUp while in public!
#MaskUpNH #MaskUpNewHampshire #MaskUpMA https://t.co/5kWIPtgzcM"," ALL CIN ARE WE THIS IRE NRH Northeast Rehabilitation Hospital Network MY MASK PROTECTS YOU YOUR MASK PROTECTS ME MaskUpMA9 MASKUPNH TOGETHER WE CAN KEEP NH HEALTHY wwwmassgovMaskUp 
",AN at Tad Wit es St es Northeast Rehabilitation Hospital Network MY MASK YOU ea ae,2.0,2,2,0,0
Boomer,trumpliesamericansdie,1297141476028305408,./data_Boomer/trumpliesamericansdie/tweets4/EgBfS1BX0AEL69-.jpg,./annotation_data/Boomer/EgBfS1BX0AEL69-.jpg,"@DonaldJTrumpJr I think you mean WHEN Democrats win.  The hell we are in now because of @realDonaldTrump and his failure to lead. Do not scare the undereducated #MAGA.  We see you. We’re done. Help daddy start packing. Thank god he loves orange. 

#vote #BidenHarris2020 #TrumpLiesAmericansDie 🇺🇸 https://t.co/3Ouqyqg8gj"," Fake news Im the President Believe me SHOWTIME 
",an Li Fake news the Bel mi Seamer,0.0,1,0,1,0
