Unnamed: 0,topic,hashtag,tweet_id,image_path,sample_path,body_text,label,image_text,text_with_OCR
0,asianhate_04,ChinaVirus,1254162507020763137,./tweet_data/asianhate_04/ChinaVirus/tweets4/EWeuJgbXkAAz1OD.jpg,./annot_data_hate/EWeuJgbXkAAz1OD.jpg,"@Reuters How long can we stay at home? This is not permanent solution.
#VirusGuard is the only solution to cope with #COVID19❗

https://t.co/XwEak900vC

#wuhanvirus #chinavirus #coronavirus #chinaoutbreak #wuhanoutbreak #Mers #Covid_19 https://t.co/80KoQdV5Gh",2.0,"sy virus guard sustainable disinfection 10 day disinfection protection wwi ae aera ny pe
",sy virus guard sustainable disinfection 10 day disinfection protection wwi ae aera ny pe
1,vaccine_04,BillGatesBioTerrorist,1248344434120560642,./tweet_data/vaccine_04/BillGatesBioTerrorist/tweets2/EVMCpJxXQAEsSLi.jpg,./annot_data_hate/EVMCpJxXQAEsSLi.jpg,"So. Many. SHEEPLE! WAKE UUUPP!
#BillGatesBioTerrorist 
#BillGatesIsEvil 
#BillGatesPublicEnemy1 
#BillGatesIsNotOurFriend 
#BillGatesVaccine
#BillGatesVirus https://t.co/rFkHJGQvOV",0.0,"ie alright
",ie alright
2,politics_08,TrumpIsALaughingStock,1294450197435645952,./tweet_data/politics_08/TrumpIsALaughingStock/tweets3/EfbPlPOWAAEj3NC.jpg,./annot_data_hate/EfbPlPOWAAEj3NC.jpg,@AintParler @Lorrain86857415 @TheWorldWatch @SpinneyJr @hsbanik @sacmac11 @KraigtheBunny @MercerCreed @_White__Rabbit @TheTruthFairy4 @FiestyKiwi @G2Precision @WarrenJPierce @KumbarRajesh @sk8djglfrfoos @Acknowledgerea3 @JayCory7 @ADevotedYogi @Heather012177 @CrystalLozano4 @LisaSing75 @COCrowe @PhillipDenton @EricO_2020 @Janesmi74403686 @suprdupe @bkmoore777 @Jah18186004 @TideFanJoe @JackieO69045443 @TheTrollHunte14 @SockRocket2019 @stevendem @sham786364 @natehansen42 @mannazesq @Gummbyman32 @forcemultipler @HerpesMichael @nzhippygirl @SGijora @AdHomin1711 @ShaktiForTrump @WhoFeedsYou @JDavidBourne1 @rygh_sherrie @iflysims70 @kruttika108 @LisaSwartz8 @thedjrichyb Thank you for your opinion of the impeachment regardless of your feelings he is still impeached. I'm sending big hugs your way.🤗🤗🤗🤗🤗🤗 #TrumpFailedAmerica #TrumpIsACriminal #TrumpIsALaughingStock #ProsecuteTrump #jailtime #PutinsPuppet #BIGHUGTOYOU https://t.co/Jo7ZZszJDJ,0.0,"oa boohoo sorry aaa wa del ah
",oa boohoo sorry aaa wa del ah
3,politics_08,TrumpIsANationalDisgrace,1292919661206687748,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets2/EfFfVjwX0AUmmcQ.jpg,./annot_data_hate/EfFfVjwX0AUmmcQ.jpg,"Gallup poll: 4 out of 5 Republicans don't think America is great right now

165,935 Americans have died in vain

and Trump wants to give a Gettysburg speech? 

#BlameTrump 

#TrumpIsANationalDisgrace https://t.co/Qz0vUdFIhJ",2.0,"republican satisfaction state america plummet overall american satisfaction low decade gallup report bea rep getty images
",republican satisfaction state america plummet overall american satisfaction low decade gallup report bea rep getty images
4,politics_04,TrumpLiesPeopleDie,1248647765044776961,./tweet_data/politics_04/TrumpLiesPeopleDie/tweets2/EVQWgf-UcAA1Z3K.jpg,./annot_data_hate/EVQWgf-UcAA1Z3K.jpg,"@catjung @AmoneyResists Keep believing the bull$hit, all the data, #70days inaction and the most cases in the world shows you his response was bullshit. Americans are dying and will die, Trump supporters don’t give a damn. You are truly the mark of a con man. And not a good one. #TrumpLiesPeopleDie https://t.co/hren6p0YPL",1.0,"dont recognize pea ae es ta ws mt aor
",dont recognize pea ae es ta ws mt aor
5,politics_08,TrumpIsACompleteFailure,1291023422449999873,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets1/Eeqi9h9XkAIdTbA.jpg,./annot_data_hate/Eeqi9h9XkAIdTbA.jpg,@CNN @SpiroAgnewGhost Yeah. We knew he'd be terrible and dumb. That's why most Americans did not vote for him. #TrumpIsACompleteFailure https://t.co/kbAoy6eYhm,0.0,"normal na fy
",normal na fy
6,politics_08,TrumpIsACompleteFailure,1295518304426172417,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets3/Efqa4GyWoAAP6R0.jpg,./annot_data_hate/Efqa4GyWoAAP6R0.jpg,@washingtonpost Thank god for @SpeakerPelosi -- somebody has to stop @realDonaldTrump from destroying America from the inside. #VoteBlue2020 #TrumpIsACompleteFailure https://t.co/pq7fn8l2Zd,0.0,"trump burn america ground alae fail
",trump burn america ground alae fail
7,politics_04,LiarInChief,1248075400095215617,./tweet_data/politics_04/LiarInChief/tweets2/EVIN9S5UcAAUagq.jpg,./annot_data_hate/EVIN9S5UcAAUagq.jpg,@GeorgeTakei @roecats_8 Yep the #LiarInChief has got to go! #TrumpOwnsEveryDeath #TrumpVirusCoverup https://t.co/UvfpF6iIOK,0.0,"hi seam ul move fire ol compete co
",hi seam ul move fire ol compete co
8,ageism_12,covidiots,1335669851709460480,./tweet_data/ageism_12/covidiots/tweets1/EfBDZe2WsAALsfb.jpg,./annot_data_hate/EfBDZe2WsAALsfb.jpg,"#coronavirusUS #COVID #COVIDIOTS Through deaths #lockdownextensions, raised #suicides #domesticviolence, #sexualabuse unemployment etc. #Covid_19 has caused havoc. #Hunger &amp; #riots R awaited. No drug no #vaccine STOP IT. Take advice https://t.co/Q9gFNSRYsp https://t.co/hMwlss70uz",2.0,"danger face disease global tob spread work home ta bad effects lockdown good effects lockdown rf
",danger face disease global tob spread work home ta bad effects lockdown good effects lockdown rf
9,politics_08,PedoGateIsReal,1289387271083266050,./tweet_data/politics_08/PedoGateIsReal/tweets1/EeTS4yNX0AAMNlC.jpg,./annot_data_hate/EeTS4yNX0AAMNlC.jpg,"A blind person would say this is edited... yeah surgery says. Nope it’s real. Wake up people #ObamaGateIsReal #Obama #ObamaGateAintGoingAway #Trump2020LandslideVictory 
#PEDOGATEISREAL #Pedowood #PEDOFILI #pedowoodexposed #Pedovore #pedo #PedoPanic #pedofilos #GreatAwakening https://t.co/WBEYKV7wEy",1.0,"obama wear night illuminati blood sacrifice wear mask grocery store karen fom py
",obama wear night illuminati blood sacrifice wear mask grocery store karen fom py
10,ageism_04,covidiots,1245643591029944320,./tweet_data/ageism_04/covidiots/tweets1/EUlqPNoUcAAfEPk.jpg,./annot_data_hate/EUlqPNoUcAAfEPk.jpg,"Naniama! You go talk truth! 😁😁

So now we’ve moved from ‘Misled’ to ‘Misspoke’? What is it about you guys and the prefix ‘mis’?
@moigovgh #CoronavirusOutbreak #Ghana #COVIDIOTS https://t.co/wJ9btDdSGB",2.0,"health minister misspoke treatment vip bog hospital nkrumah oy marian
",health minister misspoke treatment vip bog hospital nkrumah oy marian
11,ageism_08,covidiots,1289633613873479682,./tweet_data/ageism_08/covidiots/tweets1/EeWy7eKXgAIJyKM.jpg,./annot_data_hate/EeWy7eKXgAIJyKM.jpg,"We’ve seen it on video, the senator admitted and even apologized for it. Today, a Nigerian judge has passed a judgement that says otherwise. The truth is, The Nigerian system is rigged to help the poor and uplift the rich at whatever cost. #konji #COVIDIOTS #HeadsUpFACupFinal https://t.co/E4yMEavKYU",2.0,"oy ge wf senator abbo win assault case despite video evidence
",oy ge wf senator abbo win assault case despite video evidence
12,asianhate_04,CCP_is_terrorist,1250733087438147585,./tweet_data/asianhate_04/CCP_is_terrorist/tweets3/EVt_F8jVcAAy9L8.jpg,./annot_data_hate/EVt_F8jVcAAy9L8.jpg,"@khunprinx And we will defend our friend from evil #CCP

#MilkTeaAlliance 
#ChinaLiedPeopleDie 
#CCP_is_terrorist 
#China
#StopMekongDam https://t.co/cxRAsbwljE",1.0,"let talk nye mors ae vy cc ip il ll db pe bia bs ci fealty laos a8
",let talk nye mors ae vy cc ip il ll db pe bia bs ci fealty laos a8
13,politics_12,kag,1335725024926298112,./tweet_data/politics_12/kag/tweets1/Eoly09yVgAM08_k.jpg,./annot_data_hate/Eoly09yVgAM08_k.jpg,@iEuno @trainman_lover I see she wants to have an open and fair conversation about this. #KAG https://t.co/gKHoz9j8dz,2.0,"cave asic aon cea acca rr sper lover ee ea vy block block follow trainman lover view trainman lover tweet
",cave asic aon cea acca rr sper lover ee ea vy block block follow trainman lover view trainman lover tweet
14,politics_12,TrumpIsACompleteFailure,1336716070820990981,./tweet_data/politics_12/TrumpIsACompleteFailure/tweets2/Eoz4KvgW4AMg4ef.jpg,./annot_data_hate/Eoz4KvgW4AMg4ef.jpg,"@realDonaldTrump #TrumpVirusDeathToll287K ,
Over 102,000 hospitalized, and over 2,000 #Americans dying every day. This is #TrumpsAmerica .

At least Germany has a leader who gives a damn about her country's people. We have #DiaperDonald .

#TrumpIsACompleteFailure 
#TrumpIsANationalDisgrace https://t.co/sGplCKkGf9",0.0,"wee nt afraid nt let aoe woe oe oii ere aii iy ie nie siew coen ee sam
",wee nt afraid nt let aoe woe oe oii ere aii iy ie nie siew coen ee sam
15,immigration_08,BuildTheWall,1296529811104358400,./tweet_data/immigration_08/BuildTheWall/tweets3/Ef4y_bfUYAAAoeW.jpg,./annot_data_hate/Ef4y_bfUYAAAoeW.jpg,@realDonaldTrump #DonaldTrump’s son #DonaldTrumpJr testimonial on how much he respected &amp; loved #SteveBannon’s #BuildTheWall #GoFundMe effort. Jr’s girlfriend #KimberlyGuilfoyle had same praise how beautiful the wall was going to be #awkwardmoments #SteveBannonArrested https://t.co/dk5IwFZPkz,0.0,"private enterprise fine well fast cheap guy pretty amazing start grassroots effort wonderful thing important issue donald trump jr
",private enterprise fine well fast cheap guy pretty amazing start grassroots effort wonderful thing important issue donald trump jr
16,politics_04,CreepyJoe,1253617208959221762,./tweet_data/politics_04/CreepyJoe/tweets4/EWW9Jl5U0AA_-GH.png,./annot_data_hate/EWW9Jl5U0AA_-GH.png,"@ManFromMarina @CNN Peter which Joe are you going with? 

 #CreepyJoe  #DementiaJoe https://t.co/PgPDhEdndZ",1.0,"paddle xi de ta canoe natal ae cause ice cream pancake fit ina doghouse nt
",paddle xi de ta canoe natal ae cause ice cream pancake fit ina doghouse nt
17,asianhate_04,ChinaLiedPeopleDied,1251924150060490752,./tweet_data/asianhate_04/ChinaLiedPeopleDied/tweets3/EV-6YO8WAAACgPz.jpg,./annot_data_hate/EV-6YO8WAAACgPz.jpg,"@RepDonBeyer It’s sad that highly partisan Democrats like Don Beyer support the Chinese Communist Party much more than they support the duly elected President of the United States.

#ChinaLiedPeopleDied https://t.co/7j9u47bGUS",1.0,"cory look crazy democrats putt eti ts tia 15 bb tweet reply
",cory look crazy democrats putt eti ts tia 15 bb tweet reply
18,politics_08,TrumpIsACompleteFailure,1295236561479450624,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets3/EfmaydxXgAofQrd.jpg,./annot_data_hate/EfmaydxXgAofQrd.jpg,"Can trump not be so damn disgusting?
@realDonaldTrump 
@GOP
#TrumpIsAnInternationalLaughingStock 
#TrumpIsANationalDisgrace 
#TrumpIsACompleteFailure 
#TrumpCrimeFamily 
@ProjectLincoln 
@MeidasTouch https://t.co/7aH1VHMwqE",0.0,"int ts ita peta sexually daughter trad time ivanka ps year old ie ill
",int ts ita peta sexually daughter trad time ivanka ps year old ie ill
19,politics_04,TrumpGenocide,1255306873483468804,./tweet_data/politics_04/TrumpGenocide/tweets5/EWu-8k-XkAI7Gls.jpg,./annot_data_hate/EWu-8k-XkAI7Gls.jpg,"@ScottImmordino Sadly, I'm not surprised.
Heartless, gutless bastards who only care abt their status, money, and political connections
It's truly disgusting what OUR COUNTRY has become under this failed reality star, fascist wannabe
#TrumpGenocide
#GOPBetrayedAmerica https://t.co/u3IVUvvv09",0.0,"ly ee pp employee companies ae thank ad instead give raise hazard pay
",ly ee pp employee companies ae thank ad instead give raise hazard pay
20,politics_12,TrumpIsACompleteFailure,1344285987757723649,./tweet_data/politics_12/TrumpIsACompleteFailure/tweets5/Eqfc-1ZVkAEmMco.jpg,./annot_data_hate/Eqfc-1ZVkAEmMco.jpg,"We have a shitty, self-serving, petty, irresponsible, uncaring, uneducated, lack of leadership. #TrumpIsACompleteFailure https://t.co/TeRkoR9ucQ https://t.co/9XRSS3fjgw",1.0,"nt read acme ee acme nt care nt grasp crm cle
",nt read acme ee acme nt care nt grasp crm cle
21,asianhate_04,CCPVirus,1252110662165127168,./tweet_data/asianhate_04/CCPVirus/tweets3/EWBkAYdU0AEZY0s.jpg,./annot_data_hate/EWBkAYdU0AEZY0s.jpg,"@dcexaminer @BoycottChina9 @Huawei To all countries seriously affected by #CCPVirus, once your network is comprised, you are done.
UK and other countries have to consider seriously NOT to using #Huawei!

#CCPVirus #CHO #COVID19 #中共病毒 #武漢肺炎 
#HKIsNotChina #TaiwanIsNotChina #ChinaLiedPeopleDied https://t.co/Fsr7Ci4brV",2.0,"a7 lg oh lf huawei huawei huawei block block follow huawei view tweets
",a7 lg oh lf huawei huawei huawei block block follow huawei view tweets
22,politics_04,TrumpGenocide,1248710458065944579,./tweet_data/politics_04/TrumpGenocide/tweets2/EVRPis5WsAEcBbl.jpg,./annot_data_hate/EVRPis5WsAEcBbl.jpg,"Seriously.......journalists need to be tougher with follow up questions. Trump keeps getting away with lying over and over with ZERO push back. Trump is getting away with regurgitating his gaslighting rally rhetoric. ENOUGH!
#TrumpBurialPits #Couchella #TrumpGenocide https://t.co/vVF6HfI74p",0.0,"press conference propaganda session co yee ps peal 44 ia sem
",press conference propaganda session co yee ps peal 44 ia sem
23,ageism_08,covidiots,1299858032747327494,./tweet_data/ageism_08/covidiots/tweets5/EgoF_UvX0AA1Tem.jpg,./annot_data_hate/EgoF_UvX0AA1Tem.jpg,"Risk area, Preston, to London. Putting more lives at risk to push these baseless conspiracies. She’s risking her two young children as well.
I’m ashamed to be from the same family.

Enjoy this edit of her #COVIDIOTS https://t.co/qc6RmC0SFO",0.0,"ke ee ny ce il ys ly ae fai 00 cov din ae ty tweet reply
",ke ee ny ce il ys ly ae fai 00 cov din ae ty tweet reply
24,politics_12,dictatordan,1343780557365211136,./tweet_data/politics_12/dictatordan/tweets5/EqYRSdoU0AAXRty.jpg,./annot_data_hate/EqYRSdoU0AAXRty.jpg,Even his hometown has disowned him. 👏👏👏Wangaratta.  #Wangaratta .  #DictatorDan #JailDanAndrews #DickheadDan  #AndrewsRoyalCommission #ICantStandDanAndrews https://t.co/iRV7OQWp9m,1.0,"hie ne wang dan fark rend ao oz aa
",hie ne wang dan fark rend ao oz aa
25,vaccine_04,Plandemic,1253098813218152448,./tweet_data/vaccine_04/Plandemic/tweets4/EWPmtxzUEAAiT8x.jpg,./annot_data_hate/EWPmtxzUEAAiT8x.jpg,@doctorow Okay okay okay... I am finally getting there. #radicalized #Plandemic #LockedIn #feelsafe #day36 #dontcaughonme #masked #WhyDosentTheTeflonCoatedPresidentCatchIt https://t.co/uFXjq6x271,2.0,"fi eed red death ee
",fi eed red death ee
26,politics_12,TrumpIsALaughingStock,1335035311655690242,./tweet_data/politics_12/TrumpIsALaughingStock/tweets1/Eob_ipLXMAAHjXZ.jpg,./annot_data_hate/Eob_ipLXMAAHjXZ.jpg,@POTUS @realDonaldTrump Your truly are #DaiperDon.  #DaiperDon.  #TrumpIsANationalDisgrace #TrumpIsALaughingStock #BiggestLoser #dumbdumbdonnie https://t.co/R1nvIBYXTY,1.0,"america speak
",america speak
27,asianhate_04,MakeChinaPay,1251848064844922880,./tweet_data/asianhate_04/MakeChinaPay/tweets3/EV91LaiXQAcyr5X.jpg,./annot_data_hate/EV91LaiXQAcyr5X.jpg,Yes! No lipstick under masks! But a little clear / near-clear pomade/lip balm ~ Any brand is a good idea~ #coronavirus #COVID19  #mask #MakeChinaPay @CBSNewYork @JohnElliottTV https://t.co/JicprEXplN,2.0,"eline pe c7 nn fad oe pp nie 06 ad wt ol ad
",eline pe c7 nn fad oe pp nie 06 ad wt ol ad
28,politics_12,TrumpIsANationalDisgrace,1338195764217073664,./tweet_data/politics_12/TrumpIsANationalDisgrace/tweets2/EpI59HyW8AA-EID.jpg,./annot_data_hate/EpI59HyW8AA-EID.jpg,@realDonaldTrump Quit your crying. You LOST. The People have spoken. SCOTUS have spoken.  So many people are dead and starving because of YOU! You can't lead. We'll clean up your mess! I can't wait until Jan. 20th! #TrumpVirus #BidenWonTrumpLost #BidenHarris #TrumpIsANationalDisgrace #concede https://t.co/Fk7cxJXUdP,2.0,"person oi
",person oi
29,asianhate_04,Wuhanvirus,1249227103712632832,./tweet_data/asianhate_04/Wuhanvirus/tweets2/EVYlbN2UEAEFUcD.jpg,./annot_data_hate/EVYlbN2UEAEFUcD.jpg,@aesthernatouch Time for Asians to form an ally against the #WuhanVirus and the tyranny regime 💪 https://t.co/vsZ2PVybUq,0.0,"wee 1s feel connection
",wee 1s feel connection
30,politics_08,RacistInChief,1292948495817682944,./tweet_data/politics_08/RacistInChief/tweets2/EfF5gfeXsAEiFnn.jpg,./annot_data_hate/EfF5gfeXsAEiFnn.jpg,Really? The #RacistInChief is talking about ANOTHER capital gains tax cut? &amp; another tax cut for the “middle class” that he defined as households with an income above $250K? Out of touch does not fit. That’s “Let the poor eat cake” type 💩😡 https://t.co/F9J8uPieLV,1.0,"zi aay ye es pie america gun hit easy fo buy
",zi aay ye es pie america gun hit easy fo buy
31,politics_08,TrumpIsACompleteFailure,1291413367618449415,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets1/EewFnSCX0AA6-W0.jpg,./annot_data_hate/EewFnSCX0AA6-W0.jpg,"@realDonaldTrump You're a complete failure. Kudos to @jonathanvswan for exposing you for the fraud that you are. #TrumpOwnsEveryDeath #TrumpIsALaughingStock #TrumpIsNotWell #COVIDIDIOT
#TrumpHasNoPlan #TraitorTrump #TrumpIsANationalDisgrace #TrumpIsACompleteFailure

 https://t.co/Z4Zz1POcMR https://t.co/zUN1CSYf8q",2.0,"ee i5 hbo president trump exclusive interview episode hbo
",ee i5 hbo president trump exclusive interview episode hbo
32,politics_08,PedoJoe,1296197484583309312,./tweet_data/politics_08/PedoJoe/tweets3/Ef0Em4IWoAAvOIr.jpg,./annot_data_hate/Ef0Em4IWoAAvOIr.jpg,DON'T LET THIS HAPPEN...#PedoJoe is a TrojanHorse for COMMUNISM. #VoteTrump #Trump2020 #TrumpFOREVER https://t.co/jUMKTYbB9j,1.0,"text trump 70 joe biden isa trojan horse sake na ah
",text trump 70 joe biden isa trojan horse sake na ah
33,asianhate_04,ChinaLiedPeopleDied,1248218707446226944,./tweet_data/asianhate_04/ChinaLiedPeopleDied/tweets2/EVKQRz6UUAE8sC-.jpg,./annot_data_hate/EVKQRz6UUAE8sC-.jpg,"@Yuriko76695497 @Wl9uZ So damn true. They conceal the epidemic and disguise as saviour lol.

#ChinaLiedPeopleDied 
#WuhanVirus https://t.co/NxFoEdBVqi",1.0,"europe america china bring deadly disease hong ens esa ura
",europe america china bring deadly disease hong ens esa ura
34,politics_04,kag,1253706447470411779,./tweet_data/politics_04/kag/tweets4/EWYPSgFXsAEi_YL.jpg,./annot_data_hate/EWYPSgFXsAEi_YL.jpg,"Come join us for our National Weekend of Action, where we’ll be engaging voters by making calls for President Trump so we can all #LeadRight and #KAG together! 🇺🇸 https://t.co/C0CONAdVb2",0.0,"national weekend call april 2426 2020 join iz eu ga
",national weekend call april 2426 2020 join iz eu ga
35,politics_08,TrumpIsALaughingStock,1290850145056129026,./tweet_data/politics_08/TrumpIsALaughingStock/tweets1/EeoFXQgU0AAq4dy.jpg,./annot_data_hate/EeoFXQgU0AAq4dy.jpg,Axios interview with 🤡 what a train wreck. #Axios #JonathanSwan #AnyoneButTrump2020 #AxiosOnHBO #TrumpIsALaughingStock #Swan https://t.co/532wmJz79H,0.0,"jonathan swan represent oe
",jonathan swan represent oe
36,politics_08,kag,1295941364186615808,./tweet_data/politics_08/kag/tweets3/EfwbzJAUcAECMdL.jpg,./annot_data_hate/EfwbzJAUcAECMdL.jpg,@ec_kag @jimscileppi @CountryTisOThee @gonepecan11 @TheMangoMan7 @mwtankard @bhoytie @kim2tex @Christine_MAGA @JasonRobergeVA @boomrsunr @girlygirl1227 @US13s @bheiss76 @KimJ1011 @twobarrels @leemack2 @MalinaFronda @TA_WYMAN @NobleMark22 @whydonttheytell Slow Joe is NOT what we need in America. We need a leader. Donald Trump is the man we need to #KAG https://t.co/RjKCUlC5Xc,0.0,"let blow ear fal thats awesome thank refill bd
",let blow ear fal thats awesome thank refill bd
37,ageism_04,covidiots,1252160430568607747,./tweet_data/ageism_04/covidiots/tweets3/EWCRRL6XgAAEgD_.jpg,./annot_data_hate/EWCRRL6XgAAEgD_.jpg,"Yep. There it is.
Forseen in a fantasy movie.
Natural selection. Go USA 👍
 #coronavirus #COVID #COVIDIOTS #Covid_19 https://t.co/Eg0q2Ir6ic",2.0,"independence day rooftop party 7001 view
",independence day rooftop party 7001 view
38,politics_08,TrumpIsALaughingStock,1295856614369452032,./tweet_data/politics_08/TrumpIsALaughingStock/tweets3/EfvOuOAVoAAkyUF.jpg,./annot_data_hate/EfvOuOAVoAAkyUF.jpg,"This killer combo wants your vote now!
Available now in our Etsy store 
Link in bio  

#ElectionHQ 
#Vote 
#TrumpIsALaughingStock https://t.co/vuUxBV8bna",2.0,"bundy dahmer 2020
",bundy dahmer 2020
39,politics_08,TrumpIsALaughingStock,1296221770127568898,./tweet_data/politics_08/TrumpIsALaughingStock/tweets3/Ef0a1DLU0AAd5tt.jpg,./annot_data_hate/Ef0a1DLU0AAd5tt.jpg,"@realDonaldTrump @senatemajldr It’s Wednesday August 19th and Donald J Trump IS the most corrupt President in American history. 
#TrumpKnewAboutRussiaBounty
#TrumpIsALaughingStock https://t.co/F1H0ayd972",2.0,"yip mi politics jonathan swan names stunning moment wild trump interview confront come virus axios journalist say ed mazza
",yip mi politics jonathan swan names stunning moment wild trump interview confront come virus axios journalist say ed mazza
40,politics_12,TrumpLiesPeopleDie,1335269002600394754,./tweet_data/politics_12/TrumpLiesPeopleDie/tweets1/EofUEnoW8AAs574.jpg,./annot_data_hate/EofUEnoW8AAs574.jpg,"@HappyPete55 @nazani14 @AngieGr60130939 @JMPeck69 @traderttt9 @TwiHusband @KEB22032 @kenserlore96 @Science_George @gunsnrosesgirl3 @TallDavid Nobody has the ""right"" to murder everyone around them. Any reference to ""rights"" is simply ANOTHER bullshit lie rolling downhill from the Liar In Chief.

#TrumpsAPathologicalLiar 
#TrumpLiesPeopleDie 
#MakeLyingWrongAgain https://t.co/P9OY0Wgdpg",1.0,"lik bullshit ly nd ere ee talk
",lik bullshit ly nd ere ee talk
41,politics_08,TrumpIsANationalDisgrace,1296295864835756034,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets3/Ef1eN8sWkAElhcO.jpg,./annot_data_hate/Ef1eN8sWkAElhcO.jpg,"@realDonaldTrump Man baby is screaming in all caps! 😂😂😂

#TrumpIsANationalDisgrace 
#DNC2020convention 
#25thAmendmentBeforeWeAllDie 
#AmericasGreatestMistake 
#BidenHarrisToSaveAmerica https://t.co/43ZIpP2NJx",0.0,"trump show interest awesome power office help friend interest treat presidency reality use attention crave barack obama ridin biden
",trump show interest awesome power office help friend interest treat presidency reality use attention crave barack obama ridin biden
42,ageism_12,babyboomers,1334909614953926657,./tweet_data/ageism_12/babyboomers/tweets1/EoaNN-KVgAYM5uf.jpg,./annot_data_hate/EoaNN-KVgAYM5uf.jpg,@thistlefarms essential oils available NOW! #popupshopathome #facebookevent #benefit #tinybutmighty #Moclips #PacificBeachWA #GraysHarbor #NorthBeach #HiddenCoastScenicByway #WACoast #PCUSA @Presbyterian #millenials #GenX #BabyBoomers #SilentGeneration #GENERATION_Z #balance https://t.co/TByWj14xre,2.0,"love heals le farm oo balance healing 9d pr ull id rah
",love heals le farm oo balance healing 9d pr ull id rah
43,politics_04,TrumpIsALaughingStock,1254081508236615680,./tweet_data/politics_04/TrumpIsALaughingStock/tweets4/EWdkewtVAAc4tRu.jpg,./annot_data_hate/EWdkewtVAAc4tRu.jpg,@realDonaldTrump Send them some disinfectant while you do that. #TrumpIsALaughingStock https://t.co/KVjWZdaxib,1.0,"pian ee aad ui trump att
",pian ee aad ui trump att
44,politics_08,TrumpIsANationalDisgrace,1290268520727678977,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets1/Eefz-06XsAIKJzJ.jpg,./annot_data_hate/Eefz-06XsAIKJzJ.jpg,"@realDonaldTrump Then why has new cases outpaced testing by over 300%, genius? #TrumpIsANationalDisgrace #Biden2020ToSaveAmerica https://t.co/VaoDEtXHn9",0.0,"gx le np sat af dee porno grep alien dna ie ie ee s7
",gx le np sat af dee porno grep alien dna ie ie ee s7
